Name,Page Title,Page,Total Played Time
C1034,第五單元 01 關係與邏輯運算子 - PIPLS,/353002/01,742
C1006,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,742
C1087,第六單元 06 while迴圈二 - PIPLS,/352995/06-while,742
C1012,第三單元 03 數學模組 - PIPLS,/336606/03,742
C1080,第二單元 05 資料輸入 - PIPLS,/334984/05,738
C1072,第一單元 03 軟體使用簡介 - PIPLS,/280671/03,738
C1051,第三單元 03 數學模組 - PIPLS,/339533/03,738
C1046,第三單元 03 數學模組 - PIPLS,/336606/03,738
C1026,第九單元 02 圖形屬性設定 - PIPLS,/364453/02,738
C1044,第七單元 02 串列的基本操作 - PIPLS,/357349/02,736
C1132,第三單元 03 數學模組 - PIPLS,/0.5.34.222/03,736
C1034,第二單元 01 什麼是變數？ - PIPLS,/334980/01,734
C1066,第五單元 01 關係與邏輯運算子 - PIPLS,/349966/01,734
C1034,第四單元 02 字串的函式與運算子（二） - PIPLS,/342992/02,734
C1133,第二單元 04 資料輸出 - PIPLS,/335019/04,732
C1134,第七單元 01 什麼是串列 - PIPLS,/355059/01,732
C1131,第三單元 01 算數運算子 - PIPLS,/339531/01,730
C1004,第三單元 01 算數運算子 - PIPLS,/336599/01,730
C1036,第六單元 06 while迴圈二 - PIPLS,/352995/06-while,730
C1100,第二單元 04 資料輸出 - PIPLS,/335019/04,730
C1037,第二單元 03 基本資料型態 - PIPLS,/334982/03,730
C1015,第二單元 03 基本資料型態 - PIPLS,/335018/03,728
C1055,第二單元 04 資料輸出 - PIPLS,/334983/04,728
C1013,第三單元 03 數學模組 - PIPLS,/339533/03,728
C1135,第二單元 03 基本資料型態 - PIPLS,/335018/03,728
C1014,第九單元 02 圖形屬性設定 - PIPLS,/364485/02,728
C1110,第一單元 03 軟體使用簡介 - PIPLS,/334430/03,728
C1074,第三單元 01 算數運算子 - PIPLS,/339531/01,728
C1136,第三單元 01 算數運算子 - PIPLS,/336599/01,726
C1080,第七單元 03 處理串列的函式與方法 - PIPLS,/357350/03,726
C1056,第六單元 02 for迴圈一 - PIPLS,/354609/02-for,726
C1020,第四單元 05 字串的搜尋與邊緣刪減 - PIPLS,/339446/05,724
C1137,第二單元 01 什麼是變數？ - PIPLS,/334980/01,724
C1138,第四單元 02 字串的函式與運算子（二） - PIPLS,/342992/02,722
C1024,第四單元 06 字元及編碼 - PIPLS,/339447/06,722
C1073,第二單元 05 資料輸入 - PIPLS,/335020/05,722
C1133,第二單元 01 什麼是變數？ - PIPLS,/335016/01,722
C1037,第三單元 03 數學模組 - PIPLS,/339533/03,720
C1139,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,720
C1017,第三單元 01 算數運算子 - PIPLS,/339531/01,720
C1077,第二單元 01 什麼是變數？ - PIPLS,/335016/01,720
C1009,第五單元 02 單向選擇結構 - PIPLS,/349968/02,718
C1140,第二單元 01 什麼是變數？ - PIPLS,/335016/01,718
C1011,第二單元 01 什麼是變數？ - PIPLS,/334980/01,718
C1001,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,718
C1053,第七單元 02 串列的基本操作 - PIPLS,/355071/02,718
C1086,第二單元 04 資料輸出 - PIPLS,/335019/04,716
C1141,第九單元 01 基本繪圖~線性圖 - PIPLS,/364452/01,716
C1116,第二單元 01 什麼是變數？ - PIPLS,/335016/01,716
C1042,第二單元 04 資料輸出 - PIPLS,/334983/04,714
C1142,第二單元 01 什麼是變數？ - PIPLS,/335016/01,714
C1053,第五單元 01 關係與邏輯運算子 - PIPLS,/349966/01,712
C1143,第五單元 01 關係與邏輯運算子 - PIPLS,/349966/01,712
C1004,第二單元 01 什麼是變數？ - PIPLS,/335016/01,710
C1122,第四單元 05 字串的搜尋與邊緣刪減 - PIPLS,/342996/05,710
C1079,第三單元 03 數學模組 - PIPLS,/336606/03,708
C1126,第二單元 01 什麼是變數？ - PIPLS,/335016/01,708
C1088,第七單元 02 串列的基本操作 - PIPLS,/357349/02,706
C1053,第二單元 01 什麼是變數？ - PIPLS,/335016/01,702
C1144,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,702
C1028,第四單元 05 字串的搜尋與邊緣刪減 - PIPLS,/342996/05,700
C1081,第九單元 05 長條圖 - PIPLS,/364458/05,700
C1092,第二單元 01 什麼是變數？ - PIPLS,/335016/01,700
C1026,第六單元 02 for迴圈一 - PIPLS,/354609/02-for,700
C1145,第四單元 06 字元及編碼 - PIPLS,/342997/06,700
C1025,第六單元 03 for迴圈二 - PIPLS,/352974/03-for,700
C1044,第五單元 01 關係與邏輯運算子 - PIPLS,/353002/01,700
C1141,第七單元 01 什麼是串列 - PIPLS,/357348/01,698
C1079,第三單元 01 算數運算子 - PIPLS,/336599/01,698
C1056,第九單元 05 長條圖 - PIPLS,/364458/05,696
C1016,第二單元 01 什麼是變數？ - PIPLS,/334980/01,696
C1053,第七單元 03 處理串列的函式與方法 - PIPLS,/355078/03,696
C1144,第二單元 01 什麼是變數？ - PIPLS,/334980/01,694
C1015,第二單元 01 什麼是變數？ - PIPLS,/335016/01,694
C1000,第六單元 07 break與continue敘述 - PIPLS,/353001/07-breakcontinue,694
